ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display
103-6602,St Oliver Plunkett Primary School ,Roman Catholic Maintained,643,BT118AY,54.576265,-6.013392,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,253.57444666211933,0-4,632,07-Nov,Local Catholic Church
103-6620,St Peter's Primary School ,Roman Catholic Maintained,295,BT124JD,54.597812,-5.947287,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,171.75564037317667,0-4,287-295,0-4,Local Catholic Church
103-6621,St Joseph's Primary School ,Roman Catholic Maintained,334,BT124LD,54.595862,-5.946689,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,182.75666882497063,0-4,269,61-65,Local Catholic Church
103-6624,St Paul's Primary School ,Roman Catholic Maintained,372,BT127NN,54.595691,-5.967959,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,192.8730152198591,0-4,266,102-106,Local Catholic Church
103-6630,St Clare's Primary School,Roman Catholic Maintained,470,BT132SE,54.601173,-5.959514,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,216.7948339,9,369,92,Local Catholic Church
103-6697,John Paul II Primary School ,Roman Catholic Maintained,326,BT127FW,54.594043,-5.987119,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,180.55470085267788,0,312,14,Local Catholic Church
103-6698,St Patricks Primary School,Roman Catholic Maintained,438,BT152BP,54.609663,-5.935127,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,209.2844953645635,0-4,357,77-81,Local Catholic Church
104-6501,Bunscoil Phobal Feirste,Other Maintained,423,BT119QS,54.574239,-6.004938,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,205.66963801203133,0,387,36,Diocesan / Catechetical advisors
104-6571,Gaelscoil na BhFál,Other Maintained,219,BT126AW,54.590618,-5.96176,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,147.9864858694874,0,195,24,Local Catholic Church
104-6593,Bunscoil An Tsleibhe Dhuibh,Other Maintained,215,BT127JL,54.592225,-5.980463,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,146.6287829861518,0,196,19,Jesuits
