,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
501-2635,157.0,0.0,"Aughnacloy Free Presbyterian: once<br>Ballynanny Methodist Church: once<br>Child Evangelism Fellowship: twice<br>Clogher Valley Free Presbyterian: once<br>Glenhoy Presbyterian: once<br>Knockconny Baptist Church: once<br>St Mark's Parish Church, Augher: once",8.0,24.0,54.43226,-7.137212,Augher Central Primary School,14.0,Zero,14-18 (20-26%),26.0,9.5,0.0,26 (38%),43.0,119.7997772825746,157.0,69.0,2.5,8.0
501-2636,96.0,2.5,Ardmore Gospel Hall: 1-3/month<br>Hope for Youth Ministries: 4 or 5 visits<br>Lurgan Elim Church: 1-3/month<br>Milltown Church of Ireland: <1/month<br>Moy Methodist Church: 1-3/month,40.0,101.0,54.448949,-6.698685,Moy Regional Primary School,18.0,Zero,18-22 (26-32%),31.5,11.0,0.0,30-33 (44-49%),34.0,184.938059229494,225.0,68.0,2.5,40.0
501-2643,153.0,2.5,"Brackaville, Donaghendry and Ballyclog Group of Parishes: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Crown Jesus Ministries: twice per term<br>Stewartstown, Brigh and Albany Presbyterian Churches: <1/month",17.0,29.0,54.575386,-6.676813,Stewartstown Primary School,8.0,Zero,8 (15%),10.5,2.5,0.0,9-12 (16-22%),42.0,130.270586971775,163.0,55.0,0.0,17.0
501-2646,101.0,39.0,Crown Jesus Ministries: once<br>Dungannon Baptist Church: 4 or 5 visits<br>Dungannon C.O.I: 4 or 5 visits<br>Dungannon Methodist: 4 or 5 visits<br>Dungannon Presbyterian: 4 or 5 visits<br>Dungannon Vineyard: 4 or 5 visits<br>Free Methodist: 4 or 5 visits<br>Hope for Youth Ministries: 4 or 5 visits,36.0,95.0,54.487834,-6.748219,"Howard Primary School, Dungannon",33.0,5 or fewer,39-66 (12-21%),85.0,19.0,6.0,85 (27%),193.0,192.77591959500643,221.0,317.0,27.0,36.0
501-2649,157.0,2.5,"Coagh Baptist Church: <1/month<br>Coagh Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Reformed Presbyterian: <1/month<br>St Lukes Parish Church, Coagh: <1/month",16.0,24.0,54.64696,-6.619632,Coagh Primary School,7.0,Zero,4-11 (3-9%),14.5,5.0,0.0,13-16 (11-13%),105.0,127.72169133579789,157.0,122.0,2.5,16.0
501-2657,115.0,2.5,Child Evangelism Fellowship: termly<br>Church of Ireland: 1-3/month<br>Hope for Youth Ministries: 4 or 5 visits<br>Presbyterian: 1-3/month,28.0,77.0,54.508296,-6.838713,"Walker Memorial Primary School, Dungannon",5.0,Zero,5-29 (8-48%),34.0,5.0,0.0,34 (57%),25.0,154.58387880116294,208.0,60.0,22.5,28.0
501-2696,164.0,0.0,"Clogher Presbyterian Church: <1/month<br>Clogher Valley Free Presbyterian Church: <1/month<br>St. Macartan's Cathedral, Clogher: <1/month<br>Stonepark Baptist Church: <1/month",13.0,12.0,54.422115,-7.220108,"Carntall Primary School, Clogher",0.0,Zero,1-4 (1-5%),7.0,4.5,2.5,7 (9%),74.0,113.47740009098275,142.0,81.0,0.0,13.0
501-2719,148.0,2.3333333333333335,Hope for Youth Ministries: <1/month<br>Newmills Presbyterian Church: 1-3/month<br>Tullanisken Parish Church: 1-3/month,24.0,36.0,54.550052,-6.739993,Newmills Primary School,2.3333333333333335,5 or fewer,0-20 (0-21%),19.5,2.3333333333333335,0.0,18-21 (19-22%),72.0,134.92446262498967,170.0,94.0,15.0,24.0
501-2720,56.0,218.0,Crown Jesus Ministries: once<br>Dungannon Baptist: once or twice per month<br>Dungannon Presbyterian: once or twice per month<br>St Annes Church of Ireland: once or twice per month<br>Thomas Street Methodist: once or twice per month<br>Vineyard Dungannon: once or twice per month,71.0,162.0,54.50699,-6.764152,Dungannon Primary School,51.0,5 or fewer,52-59 (16-18%),80.0,24.0,2.5,80 (25%),22.0,232.9384143034532,251.0,320.0,2.5,71.0
501-2726,78.0,50.0,Cookstown Baptist Church: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Derryloran Parish Church: <1/month<br>First Cookstown Presbyterian Church: <1/month<br>Holy Trinity Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Lissan Parish Church: <1/month<br>Molesworth Presbyterian Church: <1/month<br>Moneymore Congregational Church: <1/month<br>WEC International: <1/month,32.0,126.0,54.643381,-6.741274,Cookstown Primary School,91.0,5 or fewer,102-132 (21-28%),171.0,39.0,11.0,171 (36%),254.0,222.8684888841486,239.0,475.0,30.0,32.0
501-3019,41.0,25.0,"Banbridge Methodist: termly<br>Bannside Presbyterian: termly<br>Equipping for Life: c. 24 visits<br>Holy Trinity  C O I Banbridge: termly<br>Scripture Union: termly<br>Train it, Teach it: c. 24 visits",60.0,192.0,54.354997,-6.268626,"Edenderry Primary School, Banbridge",122.0,9,137-141 (34-35%),160.0,19.0,16.5,160 (40%),215.0,243.31666601557413,253.0,400.0,2.5,60.0
501-3702,162.0,7.0,Baptist Youth: <1/month<br>Church of Ireland: <1/month<br>Crown Jesus Ministries: <1/month<br>Presbyterian Church: <1/month,10.0,15.0,54.720014,-6.546365,"Woods Primary School, Magherafelt",11.0,Zero,11-18 (6-10%),26.0,8.0,0.0,26 (14%),148.0,117.97296882135582,146.0,181.0,7.0,10.0
501-6007,121.0,112.0,"St Mark's Church, Portadown: <1/month",4.0,69.0,54.419051,-6.450631,"Millington Primary School, Portadown",111.0,8,125-169 (21-28%),213.0,44.0,14.0,213 (35%),276.0,194.97272501841024,201.0,601.0,44.0,4.0
501-6027,96.0,0.0,Armagh Free Presbyterian: 1-3/month<br>Armaghbreague & First Keady Presbyterian: 1-3/month<br>C.O.I. Armaghbreague: 1-3/month<br>C.O.I. Derrynoose: 1-3/month<br>C.O.I. Newtownhamilton: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Drumhillery & Second Keady Presbyterian: 1-3/month<br>Free Presbyterian Mission Board: 1-3/month<br>Keady Baptist: 1-3/month<br>Knappagh & Lislooney Presbyterian: 1-3/month,106.0,101.0,54.26998,-6.78791,"Drumhillery Primary School, Middletown",0.0,Zero,0-4 (0-5%),2.5,2.5,0.0,1-4 (1-5%),74.0,240.693173090191,225.0,79.0,2.5,106.0
501-6065,98.0,24.0,Elim Pentecostal Church: <1/month<br>Free Presbyterian Church: <1/month<br>Hill Street Presbyterian Church: <1/month<br>Lurgan Baptist Church: <1/month<br>Methodist Church: <1/month<br>St. John's Church of Ireland: <1/month,20.0,98.0,54.451997,-6.333918,"Dickson Primary School, Lurgan",66.0,5 or fewer,74-83 (32-35%),112.0,29.0,8.0,112 (48%),98.0,190.38402765222605,223.0,234.0,9.0,20.0
501-6078,151.0,8.5,Acton Parish Church of Ireland: termly<br>Free Presbyterian Mission Board: once<br>Newry Gospel Hall: 4 or 5 visits<br>Poyntzpass Baptist: termly<br>Poyntzpass Presbyterian: termly,14.0,33.0,54.295921,-6.373774,Poyntzpass Primary School,15.0,Zero,15-23 (10-15%),27.0,2.5,0.0,27 (18%),115.0,133.92304845413264,167.0,149.0,8.0,14.0
501-6079,109.0,2.6666666666666665,"Ballymagerny Free Presbyterian Church: monthly<br>Clovaneden Presbyterian Church: monthly<br>Cranagill Methodist Church: monthly<br>St Luke's Parish Church, Loughgall: monthly",36.0,85.0,54.407689,-6.611158,"The Cope Primary School, Loughgall",2.6666666666666665,Zero,0-35 (0-37%),34.5,2.6666666666666665,0.0,33-36 (35-38%),57.0,164.1640786499874,214.0,94.0,29.0,36.0
501-6080,124.0,94.0,"Bluestone Methodist Church, Craigavon: <1/month<br>Craigavon Baptist Church: <1/month<br>Craigavon Presbyterian Church: <1/month<br>St Anthony's Roman Catholic Church, Craigavon: <1/month<br>St Saviour's Church of Ireland, Craigavon: <1/month",16.0,65.0,54.446059,-6.376862,"Drumgor Primary School, Craigavon",105.0,Zero,106-109 (39-40%),117.0,9.5,2.5,117 (43%),62.0,172.47370151784372,198.0,273.0,0.0,16.0
501-6088,126.0,19.0,Bible Educational Services: <1/month<br>Fivemiletown Church of Ireland: 1-3/month<br>Fivemiletown Methodist: 1-3/month<br>Fivemiletown Presbyterian: 1-3/month<br>Hope for Youth Ministries: <1/month<br>Scripture Union: <1/month<br>Stonepark Baptist Brookeborough: <1/month<br>Walk Through The Bible UK: twice per term,49.0,63.0,54.379165,-7.308689,Fivemiletown Primary School,18.0,5 or fewer,19-27 (9-12%),33.0,7.5,2.5,33 (15%),165.0,169.95328973722152,196.0,217.0,5.0,49.0
501-6098,130.0,0.0,"Child Evangelism Fellowship: 10 visits<br>Christ Church, Kilkeel: 10 visits<br>Kilhorne Parish Church: 10 visits<br>Kilkeel Presbyterian Church: 10 visits",40.0,57.0,54.098937,-5.974795,"Brackenagh West Primary School, Kilkeel",10.0,Zero,10-18 (6-11%),19.0,2.5,0.0,19 (12%),142.0,164.1640786499874,191.0,161.0,6.5,40.0
501-6117,159.0,183.0,No External Visitors,0.0,20.0,54.432812,-6.4525,Ballyoran Primary School,31.0,Zero,32-64 (12-23%),84.0,20.0,2.5,84 (31%),8.5,130.39920318408906,153.0,274.0,29.0,0.0
501-6138,89.0,23.0,Church of Ireland: 1-3/month<br>Elim Church: 1-3/month<br>Methodist Church: 1-3/month<br>Presbyterian Church: 1-3/month,43.0,112.0,54.430348,-6.408104,"Bocombra Primary School, Portadown",46.0,Zero,56-65 (16-18%),165.0,100.0,10.0,165 (47%),165.0,219.4897718252192,232.0,353.0,9.0,43.0
501-6141,120.0,0.0,DID NOT RESPOND TO SURVEY,,120.0,54.685318,-6.743124,"Churchtown Primary School, Killybasky",2.0,,2-6 (3-10%),11.0,5.0,2.0,11 (19%),47.0,200.0,120.0,58.0,2.0,https://parentsforinclusiveeducationni.org/
501-6178,139.0,5.0,Child Evangelism Fellowship: <1/month<br>Gospel Hall Speaker: <1/month<br>Hope for Youth Ministries: <1/month,9.0,47.0,54.419887,-6.258188,Donacloney Primary School,40.0,5 or fewer,40-45 (19-21%),65.0,20.0,0.0,65 (31%),141.0,152.60802287259702,182.0,211.0,5.0,9.0
501-6179,145.0,3.5,Child Evangelism Fellowship: <1/month<br>Druminnis Presbyterian Church: <1/month<br>Mullabrack Parish Church: <1/month<br>Richill Methodist Church: <1/month<br>Youth For Christ: <1/month,18.0,39.0,54.343988,-6.543893,"Hamiltonsbawn Primary School, Armagh",21.0,5 or fewer,20-27 (20-26%),34.5,9.0,0.0,33-36 (32-35%),65.0,138.58755816712056,174.0,102.0,3.5,18.0
501-6200,164.0,0.0,"All Saints Crossdernott Church of Ireland, Pomeroy: <1/month<br>Altedesert Church, Pomeroy: <1/month<br>Hope for Youth Ministries: <1/month<br>Pomeroy Presbyterian Church: <1/month<br>Scripture Union: <1/month",16.0,10.0,54.599411,-6.913408,"Queen Elizabeth II Primary School, Pomeroy",0.0,Zero,0 (0%),2.5,2.5,0.0,1-4 (2-9%),41.5,112.3719489880223,140.0,44.0,0.0,16.0
501-6221,140.0,2.5,Cookstown Baptist: 4 or 5 visits<br>Cookstown Free Presbyterian: 4 or 5 visits<br>Crown Jesus Ministries: once<br>Kildress Church of Ireland: 8 visits<br>Orritor Presbyterian: 4 or 5 visits,21.0,46.0,54.658738,-6.822043,"Orritor Primary School, Cookstown",21.0,Zero,21-33 (10-15%),32.5,2.5,0.0,31-34 (14-16%),181.0,150.59850745345068,181.0,216.0,9.0,21.0
501-6224,146.0,2.5,Cookstown Baptist Church: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Desertcreat Parish Church (C.O.I.): <1/month<br>Donaghey Congregational Church: <1/month<br>Independent Methodist: <1/month<br>Sandholes Presbyterian Church: <1/month,21.0,38.0,54.585548,-6.746043,"Donaghey Primary School, Dungannon",10.0,5 or fewer,7-14 (7-14%),21.5,9.0,0.0,20-23 (21-24%),73.0,138.6299973577741,173.0,97.0,2.5,21.0
501-6391,152.0,43.0,"Christian Fellowship Church (CFC): <1/month<br>Dungannon Baptist Church: <1/month<br>St Andrew's Parish Church, Killyman: <1/month<br>St Anne's Parish Church, Dungannon: <1/month<br>Vineyard Church Dungannon: <1/month",14.0,30.0,54.519223,-6.727445,"Bush Primary School, Dungannon",14.5,Zero,13-17 (7-9%),49.0,32.0,0.0,49 (25%),107.0,138.00905117522936,164.0,199.0,2.5,14.0
501-6436,115.0,13.5,"Baptist Youth: once<br>Elim Church: <1/month<br>Free Presbyterian Church – Markethill: <1/month<br>Markethill Presbyterian Church: <1/month<br>Markethill, Baptist Church – Armagh: <1/month<br>Mullabrack - Church of Ireland: <1/month<br>Reformed Presbyterian: <1/month<br>Richhill Methodist Church: <1/month<br>Tullyallen Presbyterian Church: <1/month",29.0,77.0,54.290793,-6.519739,Markethill Primary School,15.0,Zero,16-48 (6-17%),62.0,17.0,2.5,62 (22%),201.0,181.2292285545134,208.0,278.0,29.0,29.0
501-6451,75.0,41.0,Baptist: 4 or 5 visits<br>Brethren - Gospel Hall: 4 or 5 visits<br>Child Evangelism Fellowship: 4 or 5 visits<br>Love for Life: 4 or 5 visits<br>Methodist Church: 4 or 5 visits<br>Non Subscribing Presbyterian Church: 4 or 5 visits<br>Presbyterian Church In Ireland: 4 or 5 visits<br>Reformed Presbyterian: 4 or 5 visits<br>The Church of Ireland: 4 or 5 visits,36.0,132.0,54.180579,-6.332108,"Windsor Hill Primary School, Newry",25.0,9,37-67 (18-33%),98.0,31.0,12.0,98 (49%),63.0,206.7710383518748,242.0,202.0,30.0,36.0
501-6543,117.0,6.0,Bethany Free Presbyterian Church: 4 or 5 visits<br>Brethren: 4 or 5 visits<br>Crown Jesus Ministries: 4 or 5 visits<br>International Justice Ministries: 4 or 5 visits<br>Knocknamuckley Church of Ireland: 4 or 5 visits<br>Newmills Presbyterian Church In Ireland: 4 or 5 visits<br>Reach Mentoring: 4 or 5 visits<br>Stand By Me: 4 or 5 visits,32.0,73.0,54.399498,-6.38865,"Moyallon Primary School, Portadown",15.5,Zero,18-34 (9-17%),61.0,27.0,2.5,61 (30%),136.0,175.98630072715727,205.0,203.0,16.0,32.0
501-6599,121.0,9.0,1st Dromara Presbyterian: twice per term<br>Child Evangelism Fellowship: twice per term<br>Dromore Baptist: once<br>Garvaghy Presbyterian: 4 or 5 visits<br>Growell Gospel Hall: twice<br>Hope for Youth Ministries: twice<br>Reformed Presbyterian: 4 or 5 visits<br>St John's and Garvaghy Parish: twice per term,33.0,69.0,54.379512,-6.083477,"Fair Hill Primary School, Dromara",36.0,Zero,36-40 (14-16%),45.0,6.5,0.0,45 (18%),198.0,175.98630072715727,201.0,252.0,2.5,33.0
501-6612,137.0,12.0,Acts 29 Church: <1/month<br>Brookvale Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Moneyslane Free Presbyterian Church: <1/month<br>Newry Gospel Hall: <1/month<br>Other Christian Charities: <1/month,20.0,50.0,54.264082,-6.239072,"Bronte Primary School, Banbridge",17.0,5 or fewer,17 (9%),46.0,29.0,0.0,46 (25%),124.0,155.34214543233912,184.0,182.0,0.0,20.0
501-6616,89.0,2.5,Ardarragh Free Presbyterian: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Drumgooland Parish Church & St John's Parish Church Rathfriland: 1-3/month<br>First Rathfriland Presbyterian: 1-3/month<br>Hope for Youth Ministries: <1/month<br>Katesbridge & Magherally Presbyterian: 1-3/month<br>Rathfriland Baptist: 1-3/month<br>Rural Chaplain: 1-3/month<br>Second & Third Rathfriland & Brookvale Presbyterian: 1-3/month,86.0,112.0,54.283604,-6.095336,"Drumadonnell Primary School, Banbridge",6.0,Zero,3-10 (2-5%),30.5,22.0,0.0,29-32 (15-16%),163.0,228.9986802098816,232.0,196.0,2.5,86.0
501-6643,142.0,3.0,Aughnacloy Free Presbyterian Church: 7 visits<br>Ballygawley Church of Ireland: once<br>Ballygawley Presbyterian Church: 7 visits<br>Hope for Youth Ministries: once<br>Knockconny Baptist Church: 7 visits<br>Methodist Church: 7 visits<br>Scripture Union: once,31.0,44.0,54.465845,-7.041288,Richmond Primary School,3.0,Zero,1-8 (1-7%),14.5,8.0,0.0,13-16 (11-14%),97.0,152.3764683262268,178.0,114.0,3.0,31.0
501-6658,155.0,2.6666666666666665,Annaghmore Parish Church of Ireland: twice<br>Ballymagerney Free Presbyterian: twice<br>Child Evangelism Fellowship: twice<br>Hope for Youth Ministries: twice<br>Love for Life: twice<br>Tullyroan Methodist: twice,12.0,27.0,54.465232,-6.612664,Orchard County Primary School,2.6666666666666665,Zero,4-19 (2-11%),30.5,13.0,2.6666666666666665,29-32 (16-18%),145.0,132.52804494381036,160.0,178.0,12.0,12.0
501-6680,138.0,8.5,Baptist Church Dungannon: monthly<br>Crown Jesus Ministries: once<br>Methodist Killyman: monthly<br>Moy Presbyterian Church: termly<br>St Andrews Church of Ireland: monthly,31.0,48.0,54.489921,-6.700763,"Killyman Primary School, Dungannon",28.0,Zero,28-32 (16-18%),41.0,10.0,0.0,41 (23%),128.0,151.19405926034494,183.0,177.0,2.5,31.0
503-0958,163.0,103.5,Loughgall Parish: <1/month,2.0,1.0,54.458813,-6.564615,"St John's Primary School, Eglish",2.5,Zero,1-4 (1-4%),2.5,0.0,0.0,1-4 (1-4%),0.0,56.73325020768456,82.0,106.0,0.0,2.0
503-0972,165.0,124.0,St. Oliver Plunkett's Church Forkhill: <1/month,2.0,0.0,54.082521,-6.452746,"St Oliver Plunkett Primary School, Forkhill",2.5,5 or fewer,1-5 (1-4%),5.0,0.0,0.0,5 (4%),0.0,67.87699389691144,94.0,129.0,2.5,2.0
503-0975,164.0,68.0,St Malachy's Roman Catholic Church: <1/month,2.0,1.0,54.216897,-6.518383,"St Malachy's Primary School, Ballymoyer",2.5,5 or fewer,1-4 (1-5%),2.5,0.0,0.0,1-4 (1-5%),2.5,61.66491223210112,87.0,73.0,0.0,2.0
503-1070,167.0,49.0,Lower Creggan Parish: <1/month,2.0,2.0,54.18973,-6.575995,"St Michael's Primary School, Newtownhamilton",0.0,Zero,0-4 (0-5%),24.0,21.5,0.0,24 (33%),0.0,97.8429559104456,124.0,73.0,2.5,2.0
503-1080,168.0,84.0,Dungannon Parish: <1/month,2.0,0.0,54.478881,-6.640466,"Clintyclay Primary School, Dungannon",5.5,8,9-12 (9-12%),13.0,2.5,5.0,13 (13%),0.0,86.23759122390172,114.0,97.0,0.0,2.0
503-1086,164.0,164.0,St Patrick's Crossmaglen: <1/month,2.0,1.0,54.057183,-6.626516,"Clonalig Primary School, Crossmaglen",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (1-2%),0.0,61.66491223210112,87.0,164.0,0.0,2.0
503-1088,164.0,150.0,"St Patricks, Dromintree: <1/month",2.0,1.0,54.088459,-6.41878,"Dromintee Primary School, Newry",2.5,Zero,1-8 (1-5%),2.5,0.0,0.0,1-4 (1-3%),0.0,61.66491223210112,87.0,155.0,2.5,2.0
503-1103,165.0,578.0,"St. Peter's Parish, Lurgan: <1/month",2.0,0.0,54.474816,-6.33245,"Tannaghmore Primary School, Lurgan",2.0,5 or fewer,0-7 (0-1%),5.5,0.0,2.0,4-7 (0.7-1.2%),2.0,67.87699389691144,94.0,586.0,2.0,2.0
503-1107,164.0,59.5,St Teresa's Tullyherron Roman Catholic Church: <1/month,2.0,1.0,54.240271,-6.474888,"St Teresa's Primary School, Tullyherron",2.5,5 or fewer,1-4 (2-6%),2.5,0.0,0.0,1-4 (2-6%),0.0,61.66491223210112,87.0,62.0,0.0,2.0
503-1108,163.0,108.0,St Patrick's Church Keady: <1/month,2.0,1.0,54.227251,-6.712663,"Clea Primary School, Keady",0.0,5 or fewer,0 (0%),2.5,0.0,0.0,1-4 (1-4%),0.0,56.73325020768456,82.0,108.0,0.0,2.0
503-1110,166.0,536.0,Catholic Church: <1/month,2.0,0.0,54.342137,-6.660192,Armagh Christian Brothers Primary School,4.5,5 or fewer,3-6 (0.6-1.1%),7.0,2.5,0.0,7 (1%),0.0,71.50501977672901,97.0,543.0,0.0,2.0
503-1126,117.0,82.0,Parish Administrator: monthly<br>Parish School Chaplain Team: weekly<br>Religious Sisters: twice,47.0,74.0,54.34772,-6.661287,"Mount St Catherine's Primary School, Armagh",18.0,Zero,19-34 (12-21%),74.5,42.0,2.5,73-76 (46-48%),2.5,175.4922678357857,206.0,159.0,12.0,47.0
503-1130,167.0,459.0,Parish of Upper Killeavy: <1/month,2.0,0.0,54.161846,-6.356272,"St Moninna's Primary School, Cloughoge",5.0,5 or fewer,5-12 (1-3%),17.5,7.0,2.6666666666666665,16-19 (3-4%),2.6666666666666665,77.94441225697386,103.0,479.0,2.6666666666666665,2.0
503-1133,166.0,178.0,No External Visitors,0.0,0.0,54.346384,-6.655871,"St Malachy's Primary School, Armagh",3.6666666666666665,Zero,3-10 (2-5%),16.5,8.0,0.0,15-18 (8-9%),3.6666666666666665,71.56921938165306,97.0,197.0,3.6666666666666665,0.0
503-1135,163.0,49.0,Parish of Dorsey/Lower Creggan: <1/month,2.0,1.0,54.149697,-6.546116,"St Oliver's Primary School, Carrickrovaddy",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (2-8%),0.0,56.73325020768456,82.0,49.0,0.0,2.0
503-1138,163.0,168.0,St. Joseph's Madden: <1/month,2.0,1.0,54.286748,-6.740967,"St Joseph's Primary School, Madden",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (1-2%),0.0,56.73325020768456,82.0,168.0,0.0,2.0
503-1148,168.0,476.5,Parish Priest of Upper Creggan Parish: c. 11 visits,11.0,0.0,54.079347,-6.609206,"St Patrick's Primary School, Crossmaglen",2.5,Zero,2-8 (0-2%),2.5,0.0,2.5,1-4 (0-1%),2.5,86.28498911788115,112.0,484.0,0.0,11.0
503-1154,163.0,143.0,Parish of Upper Killeavy (Catholic): <1/month,2.0,1.0,54.116605,-6.34046,"St Michael's Primary School, Killean",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (1-3%),0.0,56.73325020768456,82.0,143.0,0.0,2.0
503-1158,152.0,407.0,St. Brigid's Newry: weekly,32.0,30.0,54.185338,-6.34817,"St Patrick's Primary School, Newry",7.5,5 or fewer,15-19 (3-4%),26.0,7.0,9.0,26 (6%),8.0,140.37390996064244,164.0,441.0,2.5,32.0
503-1160,165.0,184.0,St Peter's Church: <1/month,2.0,0.0,54.482574,-6.321087,"St Teresa's Primary School, Lurgan",1.25,5 or fewer,-4-3 (-2-2%),2.5,1.25,0.0,1-4 (1-2%),1.25,65.92584956081994,92.0,189.0,1.25,2.0
503-1163,164.0,179.5,St Brigid's Glassdrummond: <1/month,2.0,1.0,54.072087,-6.536486,"St Brigid's Primary School, Glassdrummond",0.0,Zero,0 (0%),2.5,2.5,0.0,1-4 (1-2%),0.0,61.66491223210112,87.0,182.0,0.0,2.0
503-1164,164.0,48.5,Our Lady Queen of Peace Church: <1/month,2.0,1.0,54.510463,-6.572161,"St Mary's Primary School, Maghery",0.0,Zero,0-4 (0-8%),2.5,0.0,0.0,1-4 (2-8%),0.0,61.66491223210112,87.0,51.0,2.5,2.0
503-1166,168.0,76.5,Catholic Parish Priest Cill Cluney Armagh: 1-3/month,11.0,0.0,54.257872,-6.564915,"St Michael's Primary School, Clady",2.5,5 or fewer,1-4 (1-5%),2.5,0.0,0.0,1-4 (1-5%),0.0,89.27562736909665,115.0,79.0,0.0,11.0
503-1168,164.0,231.5,"St. Patrick's Church, Aghacommon: <1/month",2.0,1.0,54.469752,-6.38629,"St Patrick's Primary School, Aghacommon",2.5,5 or fewer,1-4 (0-2%),2.5,2.5,0.0,1-4 (0-2%),2.5,61.66491223210112,87.0,239.0,0.0,2.0
503-1169,152.0,127.0,No External Visitors,0.0,4.0,54.188883,-6.452039,"St Brigid's Primary School, Drumilly",2.5,Zero,1-8 (1-6%),2.5,0.0,0.0,1-4 (1-3%),0.0,30.0,54.0,132.0,2.5,0.0
503-1172,152.0,198.5,No External Visitors,0.0,4.0,54.252678,-6.65194,"St Mary's Primary School, Granemore",0.0,Zero,0 (0%),0.0,0.0,0.0,0 (0%),2.5,30.0,54.0,201.0,0.0,0.0
503-1176,166.0,358.0,"The Church of The Good Shepherd, Cloughreagh: <1/month",2.0,0.0,54.19401,-6.386758,"St Peter's Primary School, Cloughreagh",2.6666666666666665,Zero,4-7 (1-2%),8.0,2.6666666666666665,2.6666666666666665,8 (2%),0.0,71.50501977672901,97.0,366.0,0.0,2.0
503-1183,168.0,351.0,Cathedral Parish of Armagh: <1/month,2.0,2.0,54.361943,-6.657378,"St Patrick's Primary School, Armagh",2.5,5 or fewer,2-9 (1-2%),29.5,22.0,2.5,28-31 (7-8%),2.5,96.77324813626088,123.0,383.0,2.5,2.0
503-1184,160.0,616.0,"St. Anthony's Church, Craigavon.: 1-3/month",11.0,18.0,54.450753,-6.368505,"St Anthony's Primary School, Craigavon",18.0,5 or fewer,30-44 (4-6%),52.0,8.0,12.0,52 (8%),18.0,125.54894033949304,150.0,686.0,14.0,11.0
503-1188,132.0,196.0,St Joseph's Meigh: more than weekly,72.0,55.0,54.13816,-6.389405,"St Joseph's Primary School, Meigh",1.6666666666666667,Zero,0-3 (0-1%),2.5,1.6666666666666667,0.0,1-4 (0-2%),1.6666666666666667,176.4786673888044,189.0,201.0,0.0,72.0
503-1318,166.0,32.0,Independent Christian Volunteer: termly,3.0,0.0,54.073538,-6.155954,"Killowen Primary School, Newry",1.5,Zero,0-4 (0-11%),3.0,1.5,1.5,2-4 (5-11%),1.5,71.56921938165306,98.0,38.0,0.0,3.0
503-1340,158.0,391.0,Parish Religious Personnel: termly,3.0,23.0,54.178202,-6.339525,"St Joseph's Convent Primary School, Newry",31.0,5 or fewer,51-55 (11-12%),79.0,24.0,20.0,79 (17%),8.5,131.82337649086284,155.0,477.0,2.5,3.0
503-1558,164.0,193.0,School Chaplain (Newry Parish): <1/month,2.0,1.0,54.154125,-6.29348,"Ballyholland Primary School, Newry",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (1-2%),0.0,61.66491223210112,87.0,193.0,0.0,2.0
503-1589,120.0,99.0,DID NOT RESPOND TO SURVEY,,120.0,54.039803,-6.056462,Grange Primary School,0.0,,0 (0%),2.5,0.0,0.0,1-4 (1-4%),0.0,200.0,120.0,99.0,0.0,https://parentsforinclusiveeducationni.org/
503-1609,166.0,367.0,"St Mary's Catholic Church, Burren: <1/month",2.0,0.0,54.133375,-6.25746,"Carrick Primary School, Warrenpoint",2.0,Zero,2-6 (1-2%),14.0,8.0,2.0,14 (4%),0.0,71.50501977672901,97.0,381.0,2.0,2.0
503-1653,163.0,86.0,St Patrick's Gargory RC Church: <1/month,2.0,1.0,54.268963,-6.00888,"St Matthew's Primary School, Magheramayo",0.0,Zero,0 (0%),2.5,0.0,0.0,1-4 (1-5%),0.0,56.73325020768456,82.0,86.0,0.0,2.0
503-1667,164.0,106.0,"Diocesan / Catechetical advisors: once<br>St Patrick's and St Ronan's Church, Magheralin: <1/month",3.0,1.0,54.467283,-6.277136,"St Patrick's Primary School, Magheralin",0.0,Zero,0 (0%),2.5,2.5,0.0,1-4 (1-4%),2.5,61.66491223210112,87.0,111.0,0.0,3.0
503-1669,168.0,102.0,"St. John's Church, Gilford: 1-3/month",11.0,1.0,54.375592,-6.357615999999999,"St John's Primary School, Gilford",10.0,5 or fewer,11-14 (9-11%),17.5,5.0,2.5,16-19 (13-16%),2.5,93.94998045347629,120.0,122.0,0.0,11.0
