,blue,catholic,display,estimated_total_visits,green,lat,lon,name,no_religion,no_withdrawn,estimated_non_christian_string,other,other_christian,other_religion,other_string,protestant,radius_freq,red,pupils_total_2024_25,unclassified,url
301-0834,136.0,0.0,Child Evangelism Fellowship: twice<br>Cloughwater Presbyterian Church: 7 visits<br>Killymurris Presbyterian Church: 7 visits<br>Newtowncrommelin Presbyterian Church: 7 visits<br>Reformed Presbyterian: 7 visits<br>St James' Church of Ireland Clough: 7 visits,37.0,51.0,54.963365,-6.283272,Clough Primary School,13.0,Zero,13 (7%),24.0,11.0,0.0,24 (12%),168.0,162.0,185.0,192.0,0.0,37.0
301-0835,102.0,2.6666666666666665,Connor Presbyterian Church: 1-3/month<br>Kells Presbyterian Church: 1-3/month<br>Scripture Union: <1/month<br>St Saviours Church of Ireland: 1-3/month,34.0,93.0,54.812475,-6.220689,"Kells and Connor Primary School, Ballymena",82.0,Zero,82-89 (37-40%),104.5,17.0,2.6666666666666665,103-106 (47-48%),114.0,181.9479530994999,220.0,221.0,2.6666666666666665,34.0
301-0842,102.0,0.0,Dunseverick Baptist: twice<br>Free Presbyterian Church: <1/month<br>Gospel Hall: 1-3/month<br>Presbyterian Church In Ireland: 1-3/month<br>Vineyard: 1-3/month,35.0,93.0,55.123046,-6.471546,"William Pinkerton Memorial Primary School, Ballymoney",10.0,Zero,10-17 (12-21%),22.0,5.0,0.0,22 (28%),58.0,178.09679825754282,220.0,80.0,7.0,35.0
301-0846,127.0,57.0,No External Visitors,0.0,62.0,54.679235,-5.893467,"Whiteabbey Primary School, Newtownabbey",115.0,Zero,141-164 (33-39%),195.0,31.0,26.0,195 (46%),170.0,188.74507866387543,195.0,422.0,23.0,0.0
301-0847,67.0,7.5,"Ballywillan Presbyterian: <1/month<br>Causeway Coast Vineyard, Coleraine: <1/month<br>Coleraine Church of Ireland: <1/month<br>Holy Trinity Church of Ireland Portrush: <1/month<br>Portrush Baptist: <1/month<br>Portrush Gospel Hall: <1/month<br>Portrush Methodist: <1/month<br>Portrush Presbyterian: <1/month<br>Portstewart Baptist: <1/month<br>Reformed Presbyterian: <1/month<br>Scripture Union: <1/month",37.0,143.0,55.1997,-6.647891,Portrush Primary School,70.0,5 or fewer,71-74 (46-47%),73.0,0.0,2.5,73 (47%),76.0,196.5966830421913,246.0,156.0,0.0,37.0
301-0860,84.0,3.0,Bible Educational Services: <1/month<br>Carrick Community Church: <1/month<br>Carrickfergus Baptist: <1/month<br>Child Evangelism Fellowship: <1/month<br>North Street Presbyterian: <1/month<br>Scripture Union: <1/month<br>St. Nicholas’ Church of Ireland: <1/month<br>Stand By Me: <1/month<br>Youth For Christ: <1/month,30.0,118.0,54.72106,-5.815287,"Sunnylands Primary School, Carrickfergus",72.0,Zero,74-89 (39-46%),103.0,17.0,3.0,103 (54%),85.0,190.59414136208585,235.0,192.0,12.0,30.0
301-0862,69.0,6.5,Abbots Cross Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Equipping for Life: weekly<br>Gideons: <1/month<br>Stand By Me: <1/month,45.0,141.0,54.669209,-5.91324,"Abbots Cross Primary School, Newtownabbey",84.0,5 or fewer,85-95 (28-32%),115.0,21.0,2.5,115 (38%),179.0,217.99494525542528,245.0,300.0,7.0,45.0
301-0870,71.0,11.0,Church of the Nazarene: <1/month<br>Craigyhill Presbyterian Church: 1-3/month<br>Larne Baptist Church: 1-3/month<br>Old Presbyterian Church of Larne and Kilwaughter: 1-3/month<br>Scripture Union: <1/month<br>St Cedmas Church of Ireland: <1/month<br>Stand By Me: <1/month,44.0,137.0,54.856238,-5.819227,"Moyle Primary School, Larne",165.0,12,171-175 (40-41%),194.0,19.0,7.5,194 (45%),225.0,221.93761543721143,244.0,430.0,2.5,44.0
301-0873,143.0,0.0,Bushmills Free Presbyterian Church: termly<br>Bushmills Parish Church: termly<br>Bushmills Presbyterian Church: termly<br>Causeway Methodist Churches: termly<br>Dunluce Presbyterian Church: termly,15.0,43.0,55.204966,-6.527832,Bushmills Primary School,19.0,Zero,20-31 (19-29%),32.0,2.5,2.5,32 (30%),74.0,138.0,177.0,106.0,8.0,15.0
301-0874,95.0,24.0,Child Evangelism Fellowship: termly<br>Islandmagee Presbyterian: 4 or 5 visits<br>Scripture Union: termly<br>Stand By Me: twice<br>Whitehead Baptist: termly<br>Whitehead Methodist: termly,18.0,103.0,54.757729,-5.710212,"Whitehead Primary School, Carrickfergus",134.0,5 or fewer,140 (37%),163.0,23.0,6.0,163 (43%),196.0,211.196026446498,227.0,383.0,0.0,18.0
