ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
201-1879,Newtownbutler Primary School ,BT928JE,Controlled,34,#,0,*,30,0,0,32,0,2,34,0,4,BT928JE,54.184655,-7.363636,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,58.309518948453004,30-34,0,0-4
201-1881,Florencecourt Primary School ,BT921BZ,Controlled,139,102,6,31,102,6,31,102,6,31,102,6,31,BT921BZ,54.267656,-7.705226,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.89826122551595,102,6,31
201-1893,Ballinamallard Primary School ,BT942NY,Controlled,156,103,11,42,103,11,42,103,11,42,103,11,42,BT942NY,54.423759,-7.595463,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.89995996796796,103,11,42
201-1894,Brookeborough Primary School ,BT944EZ,Controlled,67,60,0,7,60,0,7,60,0,7,60,0,7,BT944EZ,54.315124,-7.405276,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,81.85352771872451,60,0,7
201-1899,Derrygonnelly Primary School ,BT936HY,Controlled,61,#,0,*,57,0,0,59,0,2,61,0,4,BT936HY,54.418231,-7.814745,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,78.10249675906654,57-61,0,0-4
201-2052,Culmore Primary School ,BT488JH,Controlled,56,16,31,9,16,31,9,16,31,9,16,31,9,BT488JH,55.047404,-7.2733,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,74.83314773547883,16,31,9
201-2095,Ballougry Primary School ,BT489XN,Controlled,45,6,21,18,6,21,18,6,21,18,6,21,18,BT489XN,54.973231,-7.381453,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,67.08203932,6,21,18
201-2227,Drumahoe Primary School ,BT473SD,Controlled,289,240,*,#,240,0,45,240,2,47,240,4,49,BT473SD,54.978992,-7.274787,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,170,240,0-4,45-49
201-2245,Eglinton Primary School ,BT473AH,Controlled,204,112,26,66,112,26,66,112,26,66,112,26,66,BT473AH,55.022296,-7.181148,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.82856857085702,112,26,66
201-2261,Newbuildings Primary School ,BT472RL,Controlled,193,168,*,#,168,0,21,168,2,23,168,4,25,BT472RL,54.959422,-7.358562,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.92443989449805,168,0-4,21-25
201-2298,Ballykelly Primary School ,BT499JS,Controlled,288,101,153,34,101,153,34,101,153,34,101,153,34,BT499JS,55.036151,-7.018907,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.70562748477138,101,153,34
201-2344,Mcclintock Primary School ,BT781UQ,Controlled,117,84,13,20,84,13,20,84,13,20,84,13,20,BT781UQ,54.516792,-7.252568,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,108.16653826391969,84,13,20
